tbl,grp,var,mean_sd,ci,p_adj
sp,P1,vec,0.18±0.08,"[0.05,0.31]",
sp,P1,rowcol,0.20±0.09,"[0.06,0.34]",0.10
sp,P1,grid,0.31±0.15,"[0.07,0.54]",1.00
sp,P1,grid_aug,0.31±0.14,"[0.08,0.54]",0.77
sp,P1,patch,0.30±0.07,"[0.19,0.40]",0.10
sp,P1,patch_aug,0.30±0.09,"[0.16,0.44]",0.54
sp,P2,vec,0.15±0.06,"[-0.01,0.30]",
sp,P2,rowcol,0.16±0.08,"[-0.03,0.36]",1.00
sp,P2,grid,0.29±0.21,"[-0.24,0.82]",1.00
sp,P2,grid_aug,0.31±0.24,"[-0.29,0.92]",1.00
sp,P2,patch,0.34±0.23,"[-0.24,0.92]",1.00
sp,P2,patch_aug,0.30±0.16,"[-0.10,0.71]",1.00
sp,P3,vec,0.69±0.13,"[0.55,0.83]",
sp,P3,rowcol,0.68±0.15,"[0.52,0.84]",1.00
sp,P3,grid,0.75±0.09,"[0.66,0.84]",1.00
sp,P3,grid_aug,0.76±0.09,"[0.66,0.85]",1.00
sp,P3,patch,0.69±0.11,"[0.57,0.81]",1.00
sp,P3,patch_aug,0.70±0.13,"[0.56,0.84]",1.00
k64,P1,topk,0.20±0.08,"[0.06,0.33]",
k64,P1,fps2k,0.19±0.08,"[0.07,0.32]",1.00
k64,P1,xfer,0.21±0.10,"[0.05,0.36]",1.00
k64,P1,rand,0.20±0.08,"[0.07,0.32]",1.00
k64,P2,topk,0.15±0.06,"[0.01,0.30]",
k64,P2,fps2k,0.15±0.06,"[0.00,0.31]",1.00
k64,P2,xfer,0.16±0.07,"[-0.02,0.33]",1.00
k64,P2,rand,0.16±0.07,"[-0.01,0.32]",1.00
k64,P3,topk,0.65±0.13,"[0.51,0.78]",
k64,P3,fps2k,0.66±0.15,"[0.50,0.81]",1.00
k64,P3,xfer,0.66±0.14,"[0.51,0.81]",1.00
k64,P3,rand,0.64±0.13,"[0.50,0.78]",1.00
ms,23>1,vec,0.47±0.01,"[0.45,0.50]",
ms,23>1,rowcol,0.48±0.01,"[0.45,0.50]",1.00
ms,23>1,grid,0.60±0.08,"[0.48,0.72]",0.34
ms,23>1,grid_aug,0.69±0.16,"[0.43,0.95]",0.51
ms,13>2,vec,0.52±0.00,"[0.52,0.52]",
ms,13>2,rowcol,0.50±0.01,"[0.49,0.52]",0.51
ms,13>2,grid,0.51±0.05,"[0.44,0.59]",1.00
ms,13>2,grid_aug,0.51±0.02,"[0.49,0.54]",0.87
ms,12>3,vec,0.84±0.03,"[0.78,0.89]",
ms,12>3,rowcol,0.79±0.03,"[0.74,0.84]",0.73
ms,12>3,grid,0.74±0.02,"[0.71,0.77]",0.11
ms,12>3,grid_aug,0.76±0.02,"[0.72,0.79]",0.11
ks,3k1,vec,0.35±0.06,"[0.25,0.45]",
ks,3k1,rowcol,0.33±0.04,"[0.27,0.40]",0.24
ks,3k1,grid,0.52±0.05,"[0.44,0.59]",0.06
ks,3k1,grid_aug,0.61±0.16,"[0.36,0.86]",0.15
ks,3k2,vec,0.25±0.01,"[0.23,0.26]",
ks,3k2,rowcol,0.28±0.02,"[0.24,0.31]",0.13
ks,3k2,grid,0.62±0.13,"[0.41,0.83]",0.06
ks,3k2,grid_aug,0.69±0.22,"[0.34,1.04]",0.10
to4,P3 1>4,vec,0.67±0.02,"[0.63,0.70]",
to4,P3 2>4,vec,0.81±0.02,"[0.78,0.84]",
to4,P3 3>4,vec,0.58±0.02,"[0.56,0.61]",
to4,MS 12>4,vec,0.65±0.02,"[0.63,0.68]",
to4,MS 13>4,vec,0.54±0.01,"[0.52,0.55]",
to4,MS 23>4,vec,0.55±0.00,"[0.55,0.56]",
