group,variant,cer,rtf
p23->p1,vec,0.473±0.014,0.0001±0.0000
p23->p1,rowcol,0.476±0.014,0.0002±0.0000
p23->p1,grid,0.602±0.076,0.0004±0.0000
p23->p1,grid_aug,0.691±0.165,0.0004±0.0000
p13->p2,vec,0.520±0.003,0.0001±0.0000
p13->p2,rowcol,0.504±0.012,0.0003±0.0000
p13->p2,grid,0.511±0.047,0.0004±0.0000
p13->p2,grid_aug,0.511±0.016,0.0004±0.0000
p12->p3,vec,0.838±0.034,0.0001±0.0000
p12->p3,rowcol,0.790±0.033,0.0002±0.0000
p12->p3,grid,0.736±0.018,0.0003±0.0000
p12->p3,grid_aug,0.756±0.020,0.0003±0.0000
