protocol,direction,condition,n,cer_m,cer_s,lex_all_m,lex_all_s,rtf_m,rtf_s
P3MS,subj12to4,raw_std,4,0.6489,0.0166,0.5907,0.0102,0.000140,0.000041
P3MS,subj12to4,raw_none,4,0.6158,0.0177,0.5603,0.0072,0.000120,0.000005
P3MS,subj12to4,raw_contact_match,4,0.6579,0.0195,0.5874,0.0100,0.000128,0.000018
P3MS,subj12to4,raw_target_marginal,4,0.6394,0.0234,0.5698,0.0111,0.000119,0.000003
P3MS,subj12to4,pca32_std,4,0.6578,0.0137,0.6002,0.0108,0.000141,0.000052
P3MS,subj13to4,raw_std,4,0.5320,0.0196,0.5237,0.0182,0.000131,0.000027
P3MS,subj13to4,raw_none,4,0.5505,0.0084,0.5518,0.0181,0.000116,0.000003
P3MS,subj13to4,raw_contact_match,4,0.5097,0.0052,0.5012,0.0141,0.000126,0.000023
P3MS,subj13to4,raw_target_marginal,4,0.5239,0.0103,0.5011,0.0164,0.000139,0.000021
P3MS,subj13to4,pca32_std,4,0.5398,0.0028,0.5393,0.0102,0.000115,0.000003
P3,subj1to4,raw_std,4,0.6877,0.0220,0.6708,0.0367,0.000119,0.000011
P3,subj1to4,raw_none,4,0.6221,0.0207,0.5977,0.0149,0.000120,0.000009
P3,subj1to4,raw_contact_match,4,0.6705,0.0196,0.6648,0.0257,0.000122,0.000005
P3,subj1to4,raw_target_marginal,4,0.6174,0.0017,0.5860,0.0110,0.000115,0.000001
P3,subj1to4,pca32_std,4,0.6818,0.0099,0.6621,0.0169,0.000113,0.000004
P3MS,subj23to4,raw_std,4,0.5646,0.0116,0.5511,0.0021,0.000141,0.000053
P3MS,subj23to4,raw_none,4,0.5882,0.0124,0.5791,0.0193,0.000123,0.000008
P3MS,subj23to4,raw_contact_match,4,0.5564,0.0100,0.5413,0.0166,0.000121,0.000006
P3MS,subj23to4,raw_target_marginal,4,0.5444,0.0086,0.5222,0.0104,0.000120,0.000001
P3MS,subj23to4,pca32_std,4,0.5782,0.0135,0.5580,0.0117,0.000119,0.000007
P3,subj2to4,raw_std,4,0.8003,0.0119,0.7316,0.0173,0.000117,0.000005
P3,subj2to4,raw_none,4,0.7209,0.0314,0.6717,0.0065,0.000117,0.000003
P3,subj2to4,raw_contact_match,4,0.7911,0.0419,0.7216,0.0153,0.000116,0.000003
P3,subj2to4,raw_target_marginal,4,0.7467,0.0209,0.6773,0.0035,0.000116,0.000002
P3,subj2to4,pca32_std,4,0.7993,0.0195,0.7364,0.0106,0.000116,0.000004
P3,subj3to4,raw_std,4,0.5799,0.0114,0.5872,0.0190,0.000114,0.000003
P3,subj3to4,raw_none,4,0.6151,0.0125,0.6358,0.0249,0.000130,0.000018
P3,subj3to4,raw_contact_match,4,0.5704,0.0038,0.5734,0.0143,0.000126,0.000015
P3,subj3to4,raw_target_marginal,4,0.5638,0.0105,0.5680,0.0120,0.000117,0.000002
P3,subj3to4,pca32_std,4,0.6071,0.0118,0.6061,0.0230,0.000117,0.000005
