protocol,condition,n,cer_m,cer_s,lex_all_m,lex_all_s,rtf_m,rtf_s
P3,raw_std,12,0.6893,0.0951,0.6632,0.0661,0.000117,0.000007
P3,raw_none,12,0.6527,0.0545,0.6351,0.0352,0.000122,0.000012
P3,raw_contact_match,12,0.6773,0.0973,0.6533,0.0661,0.000121,0.000009
P3,raw_target_marginal,12,0.6426,0.0811,0.6104,0.0508,0.000116,0.000002
P3,pca32_std,12,0.6960,0.0836,0.6682,0.0580,0.000116,0.000004
P3MS,raw_std,12,0.5818,0.0535,0.5552,0.0307,0.000137,0.000038
P3MS,raw_none,12,0.5848,0.0304,0.5637,0.0186,0.000120,0.000006
P3MS,raw_contact_match,12,0.5747,0.0657,0.5433,0.0389,0.000125,0.000016
P3MS,raw_target_marginal,12,0.5692,0.0544,0.5310,0.0322,0.000126,0.000015
P3MS,pca32_std,12,0.5919,0.0523,0.5658,0.0284,0.000125,0.000030
