paper_id,year,venue,sec1_ssi_positioning,sec2_epg_silent_speech_text_entry,sec3_decoding_formulations,sec4_spatial_modeling,sec5_robustness_augmentation,sec6_sensor_design_electrode_selection,notes
carreira_perpinan1998_dimred_epg,1998,Speech Communication,0,1,0,1,0,1,"EPG representation/dimensionality reduction baseline"
chen2022_epg2s,2022,arXiv / ICASSP 2023 material,0,1,0,0,0,0,"EPG as an articulatory modality (multimodal learning); not a text-decoding benchmark"
denby2010_silent_speech_interfaces,2010,Speech Communication,1,0,0,0,1,0,"Canonical SSI survey for positioning and challenges"
gilbert2010_magnetic_implants_silent_speech,2010,Medical Engineering & Physics,1,0,1,0,0,0,"Minimal non-EPG SSI comparison (closed-vocabulary DTW)"
gonzalezlopez2020_ssi_restoration_review,2020,IEEE Access,1,0,0,0,1,0,"Recent SSI review focused on speech restoration"
graves2006_ctc,2006,ICML,0,0,1,0,0,0,"Foundational CTC objective for alignment-free decoding"
hardcastle1989_state_of_art_epg,1989,Clinical Linguistics & Phonetics,0,1,0,1,0,1,"EPG instrumentation/representation context; motivates spatial structure and layout"
hardcastle1990_epg_phonetic_research,1990,ICSLP (ISCA Archive),0,1,0,1,0,1,"Foundational EPG sensing/background (what EPG measures; applications)"
hardcastle1991_epg_data_reduction_coarticulation,1991,Journal of Phonetics,0,1,0,1,0,1,"EPG data reduction methods; direct context for electrode reduction/design"
hueber2010_ultrasound_optical_ssi,2010,Speech Communication,1,0,1,0,0,0,"Imaging-based SSI; illustrates constrained decoding pipelines and spatial coding (PCA)"
lee2021_biosignal_speechrec_review,2021,Sensors,1,0,0,0,1,0,"Broad biosignal+DL review; general robustness/variability context"
park2019_specaugment,2019,Interspeech (ISCA Archive),0,0,0,0,1,0,"Augmentation baseline motivating masking/dropout for time-series modalities"
rehearsse_chi2024,2024,CHI (ACM),1,0,1,0,1,0,"Modern non-EPG silent spelling reference (CTC-style) for minimal comparison"
shadle1993_epg_structured_light,1993,Eurospeech (ISCA Archive),0,1,0,1,0,1,"Geometry measurement/visualization; supports spatial modeling motivation"
silentspeller_chi2022,2022,CHI (ACM),1,1,1,0,1,0,"Primary EPG-based silent spelling/text entry system; unseen-word/generalization anchor"
ssi_book_springer2017,2016,SpringerBriefs (Springer),1,0,0,0,0,0,"SSI taxonomy/positioning reference"
toutios2006_acoustic_to_epg_mapping,2006,LNCS (Springer),0,1,0,1,0,0,"Acoustic-to-EPG mapping context; representation/modeling of EPG patterns"
toutios2006_learning_epg_from_acoustics,2006,ICASSP (IEEE),0,1,0,1,0,0,"Acoustic-to-EPG mapping context; EPG as structured output"
verhoeven2019_visualisation_analysis_epg,2019,Journal of Imaging,0,1,0,1,0,1,"EPG visualization/analysis; reinforces spatial/palatogram framing"
woo2021_kepg_design,2021,Sensors,0,1,0,0,0,1,"EPG device/layout design; supports sensor-design discussion"
